SMILES,Targets
Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6c(cc5CC4)C(=O)N(C(C)C)C6)n3C)cccc2n1,1.0
CCCCCN1CCN2c3cccc4[nH]cc(c34)CC2C1,1.0
c1ccc(CCc2ccccc2OCc2cccnc2)cc1,1.0
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)/C=C/c3ccccc3)c3ccccc32)CC1,1.0
C#Cc1cccc(C(=O)NCCCCCN2CCN(c3ccccc3OC)CC2)c1,1.0
Oc1nc2c(O)ccc(C(O)CNCCS(O)=CCCNCCc3cccc(Cl)c3)c2s1,1.0
Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,1.0
CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1.0
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2,1.0
OC1(c2ccc(I)cc2)CCN(Cc2cc3ccccc3o2)CC1,1.0
NC(=O)c1cc2c3c(ccc2[nH]1)OCC(CN1CCC2(CC1)C(=O)NCN2c1ccccc1)O3,1.0
COc1ccccc1CCCN1CCN(Cc2cc3ccccc3o2)CC1,1.0
COc1ccccc1NC1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,1.0
C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,1.0
CCCN(CC[C@]1(O)C[C@@H](NC(=O)c2ccc3ccccc3c2)C1)[C@H]1C[C@@H]1c1ccccc1Cl,1.0
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Br)cc(OC)c1OC,1.0
CCCN(CCC)CC1CCc2sccc2C1,1.0
Cc1ncoc1-c1nnc(SCCCN2CCc3cc4c(cc3CC2)OCC(=O)N4)n1C,1.0
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,1.0
O=C(CCCCCCCCC(=O)NCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1)NCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1.0
Fc1ccccc1N1CCN(CCCCNc2ccc(-c3ccccc3)cn2)CC1,1.0
COC[C@@H]1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,1.0
CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,1.0
CCCN(CCC1(O)CC(NC(=O)c2ccc3ccccc3c2)C1)C1CC1c1ccc(Cl)cc1,1.0
Sc1nc2cc(Cl)cc(OCCNCc3ccccc3)c2[nH]1,1.0
OC1(c2ccc(Cl)c(Cl)c2)CCN(Cc2c[nH]c3ccccc23)CC1,1.0
CCN(CC)C(=O)N[C@@H]1C[C@@H]2c3cccc4c3C(=CC4)C[C@H]2N(C)C1,1.0
O=C(NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)c1cccs1,1.0
O=S(=O)(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1cc(F)ccc1F,1.0
O=S(=O)(Nc1ccc([C@]23CNC[C@H]2C3)cc1)c1ccc(OC(F)(F)F)cc1,1.0
CCCN(CCc1cccs1)C1CCc2c(cccc2OC2CCCC2)C1,1.0
Fc1ccc2[nH]cc(CCCN3CCN(c4cccc5c4OCCO5)CC3)c2c1,1.0
CCCN(CCC)C1COc2c(cccc2C(=O)c2ccoc2)C1,1.0
CCOc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CCN2CCC[C@@H]12,1.0
Cc1cc2c[nH]c(O)c2cc1OCCCN1CCN(c2cccc3ccccc23)CC1,1.0
CCCN(CCN1CCN(c2ccnc3c(O)cccc23)CC1)C1CCc2ccc(O)cc2C1,1.0
