affinity-inactive,affinity_6LUQ_H-Chembl24,affinity_6LUQ_H-gail_sm,affinity_6LUQ_H-gail_sf,affinity-active
-9.272,-9.093,-9.859,-9.703,-11.35
-9.021,-8.901,-10.31,-13.5,-10.23
-7.659,-9.693,-11.14,-8.712,-8.885
-9.3,-8.676,-9.15,-8.313,-13.97
-9.619,-9.029,-7.409,-8.609,-13.22
-8.828,-10.79,-8.286,-11.79,-7.586
-7.834,-9.931,-8.32,-11.54,-9.782
-6.446,-9.526,-7.269,-7.873,-8.258
-8.271,-8.429,-9.263,-8.631,-8.94
-9.787,-6.434,-9.158,-9.561,-13.62
-7.92,-10.47,-10.3,-8.307,-9.823
-7.779,-6.375,-10.31,-13.19,-10.67
-10.08,-7.714,-8.695,-7.401,-11.97
-8.628,-7.964,-10.32,-6.634,-9.103
-11.08,-7.964,-15.5,-8.649,-12.96
-9.243,-10.69,-9.599,-7.053,-9.089
-8.694,-8.781,-9.143,-7.683,-10.27
-9.791,-10.51,-11.96,-7.816,-8.918
-9.602,-8.021,-9.733,-9.173,-9.381
-12.98,-7.762,-11.5,-8.589,-9.824
-7.418,-6.943,-10.24,-8.742,-6.448
-8.448,-9.132,-6.524,-8.656,-10.65
-9.1,-10.01,-7.969,-10.67,-9.943
-7.134,-7.66,-10.2,-13.84,-9.197
-8.14,-9.475,-10.84,-8.714,-10.05
-8.744,-11.09,-9.809,-8.765,-7.405
-7.937,-10.01,-7.67,-11.42,-9.86
-8.115,-8.734,-10.44,-11.65,-9.489
-9.329,-8.396,-9.431,-8.863,-10.11
-7.263,-8.796,-8.501,-10.48,-10.19
-6.144,-10.45,-7.482,-9.318,-9.681
-10.03,-6.536,-9.27,-6.361,-7.015
-5.97,-9.503,-8.258,-9.595,-8.19
-7.508,-7.112,-12.78,-8.042,-9.949
-8.999,-9.377,-9.754,-8.105,-10.33
-10.67,-9.096,-12.27,-11.1,-8.764
-8.408,-10.29,-9.328,-9.786,-13.84
-8.637,-9.615,-8.825,-12.46,-9.974
-8.83,-10.92,-7.765,-9.881,-12.53
-8.661,-8.075,-6.627,-11.58,-9.087
-7.517,-8.143,-9.186,-9.683,-8.631
-7.035,-8.081,-8.685,-10.61,-7.157
-9.36,-8.713,-10.12,-8.207,-9.807
-9.129,-8.766,-9.116,-9.638,-8.993
-9.343,-7.65,-7.441,-8.016,-9.303
-8.476,-8.498,-10.23,-8.485,-7.594
-11.24,-8.911,-11.29,-6.727,-10.85
-6.604,-8.949,-7.187,-8.908,-7.293
-7.841,-10.44,-8.881,-9.711,-11.39
-9.919,-6.578,-9.591,-8.2,-10.38
-8.42,-10.42,-12.84,-8.373,-8.176
-9.409,-8.725,-9.668,-8.613,-8.42
-9.683,-8.069,-10.42,-7.302,-8.357
-10.03,-8.785,-8.346,-8.061,-10.41
-5.942,-9.863,-9.478,-8.329,-6.954
-9.839,-7.757,-10.98,-9.579,-11.08
-9.266,-6.907,-7.689,-8.917,-11.75
-7.868,-7.084,-7.284,-9.527,-9.641
-6.748,-8.981,-8.713,-7.391,-6.644
-6.563,-11.39,-7.211,-9.397,-9.158
-7.923,-9.443,-10.05,-4.311,-7.251
-9.645,-10.47,-10.51,-7.129,-9.987
-8.246,-11.49,-11.53,-5.594,-8.7
-9.665,-8.378,-8.313,-11.54,-7.502
-10.58,-8.113,-9.875,-11.55,-8.771
-7.894,-11.04,-12.47,-10.69,-8.11
-8.351,-8.95,-6.769,-9.769,-8.75
-7.703,-6.975,-8.602,-7.382,-9.072
-9.447,-7.928,-7.633,-7.881,-9.041
-9.153,-9.72,-8.269,-6.552,-8.619
-8.929,-9.205,-9.103,-7.993,-11.18
-6.257,-11.7,-7.785,-12.58,-9.828
-8.856,-8.776,-12.69,-11.3,-9.32
