index,smiles,affinity_6LUQ_H-gail,affinity_7E2Y_H-gail
0,COc1ccccc1N1CCN(CCCCN2CC3CCC(C2=O)N3C(=O)CC=Cc2ccc(F)cc2)CC1,-9.859,-10.46
1,O=C(CCCC1CCN(CCc2ccc(F)cc2Cl)CC1)c1ccc(F)c(F)c1,-10.31,-9.616
2,OC1(c2ccc3c(c2)OCO3)CCC(N2CCN(Cc3ccc(F)cc3)CC2)CC1,-11.14,-9.264
3,c1ccc(CCCN2CCN(c3ccccc3)CC2)cc1,-9.15,-8.583
4,CCN(CC)CC(C)NC(=O)c1cc2cccc(OC)c2s1,-7.409,-7.951
5,CC1CN(c2cccc3ccn(C4CCN(C(=O)C5CCCCC5)CC4)c23)CCN1,-8.286,-9.44
6,O=C(C=Cc1ccccc1)NCCCCN1CCOCC1,-8.32,-7.486
7,Fc1cccc(Oc2ccccc2N2CCNCC2)c1,-7.269,-7.868
8,O=C(C=Cc1ccc(O)c(O)c1)NC1C(=O)C(=O)N(CCCCN2CCN(c3cccc(Cl)c3Cl)CC2)C1=O,-9.263,-9.789
9,Clc1cccc(N2CCN(CCCCc3ccccc3)CC2)c1,-9.158,-9.084
10,CC1NCC(O)Oc2ccccc2C(O)CC1O,-10.3,-10.77
11,O=C1CCCCN1CCN1CCC(c2cc3ccccc3s2)CC1,-10.31,-8.722
12,CCN1CCCC1CNC(=O)c1c(O)c(C)cc(Nc2ccccc2Br)c1O,-8.695,-8.708
13,OC1(c2ccc(F)cc2Cl)CCN(Cc2c[nH]c3ccccc23)CC1,-10.32,-9.389
14,Oc1cc2c(cc1O)N1CCCC2CCC1,-15.5,-15.81
15,COc1ccc2c(c1)CC(CN1CCN(c3ccccc3Cl)CC1)CC2,-9.599,-9.833
16,CCCN(C)C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4)CC3)cc2C1,-9.143,-8.971
17,Cc1c(F)cccc1N1CCN(CCC(=O)N2CCC3(CCc4ccccc43)CC2)CC1,-11.96,-11.12
18,COc1ccccc1N1CCN(CCCCN2CCc3cccc4cccc2c34)CC1,-9.733,-9.96
19,COc1ccccc1N1CCN(CCCCN=C2C(=O)NC(CCCN3CCOCC3)CCN2C)CC1,-11.5,-12.15
20,c1ccc2sc(C3=Nc4cc(COCCN5CCNCC5)ccc4CC3)cc2c1,-10.24,-9.674
21,CCN1CCCC1CNC(=O)c1c(OC)c(OC)cc(OC)c1OC,-6.524,-6.573
22,O=c1[nH]c(-c2ccccc2)ccc1O,-7.969,-7.442
23,COc1ccccc1N1CCN(CCCCCc2cn(-c3ccc(F)cc3F)c3ccccc23)CC1,-10.2,-10.23
24,c1ccc2nc(Nc3ccc4c(cnn4CCN4CCCC4)c3)ccc2c1,-10.84,-9.597
25,CC1CN(c2cccc3ccsc23)CCN1CCC1CCC(NC(=O)c2ccccn2)C1,-9.809,-9.944
26,NC(=O)c1sc2nc(-c3cccs3)n3cc(C=CCCN4CCNCC4)cc3c2c1Cl,-7.67,-9.698
27,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NCO5)CC3)cccc2n1,-10.44,-11.08
28,Oc1nc2ccccc2n1CCN1CCN(c2cccc3c2OCCO3)CC1,-9.431,-9.159
29,CN1CCC(NCc2cc(-c3cc(Cl)cc(N4CCOCC4)n3)c3ccc(Cl)cc3n2)CC1,-8.501,-10.2
30,COCCOCCN1CCN(C2NC(=O)c3cc(Cl)ccc3Oc3ccc(F)cc32)CC1,-7.482,-8.199
31,CCc1cc(S(=O)(=O)NCCc2ccc(CCN3CCN(c4ccccc4C(F)(F)F)CC3)cc2)c(-c2ccc(F)cc2)n1C,-9.27,-10.08
32,CCN1c2ncccc2C(=O)N(c2cccc(C)c2)c2ccc(Cl)nc21,-8.258,-8.962
33,COc1ccccc1N1CCN(CCCCN2C(=O)CC3(CCCCC3)Cc3c(O)cccc32)CC1,-12.78,-13.18
34,CN(C)C(=O)NC1CCC(c2cc3ccc(I)cc3o2)CC1,-9.754,-7.817
35,CCCN(CCN1CCN(c2cccc3c2OCCCC3)CC1)C(=O)c1sc2ccccc2c1Br,-12.27,-12.75
36,CC1CC(NS(=O)(=O)c2cccc3cc(Cl)ccc23)CC(C)(C)N1,-9.328,-9.062
37,O=C1CNc2scc(C(=O)NCc3ccc(F)cc3)c2N1,-8.825,-8.204
38,COc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O,-7.765,-6.965
39,CN(C)C(=O)N1CCCC1CSc1ccccc1,-6.627,-7.267
40,O=C1C(O)=CCN1CCCN1CCC(c2ccc(F)cc2)C1,-9.186,-8.666
41,COc1cccc(C(=O)C2CCN(CCc3ncco3)CC2)c1OC,-8.685,-8.227
42,O=C1Cc2cccc(OCCN3CCN(c4ccccc4)CC3)c2N1,-10.12,-9.037
43,O=C1C2CCCN2C(=O)N1CCCCNCCCCNCc1ccc(CCc2ccccc2)[nH]c1=O,-9.116,-8.832
44,CCN(CC)C1CCc2ccc(O)c3c2C1c1ccccc1-3,-7.441,-8.232
45,Cc1ccc2c(N3CCN(CCc4c[nH]c5ccc(I)cc45)CC3)cccc2n1,-10.23,-10.15
46,O=C(NCCCCN1CCN(c2cccc3ccccc23)CC1)c1ccc2ccccc2c1,-11.29,-10.68
47,CNCCc1cccc2ccc(OC)cc12,-7.187,-7.004
48,CN1CCN(CCN2CCN(c3cccc(C(F)(F)F)c3)C2)CC1,-8.881,-8.597
49,Cc1cccc(N2CCN(CCN3CCC(c4ccc(F)cc4)(N4CCCC4)CC3)CC2)c1C,-9.591,-9.985
50,CCC(N)C(=O)NCC1CCCc2ccccc2C1,-12.84,-12.01
51,COc1ccc2[nH]c(CCCCN3CCN(c4ccccc4)CC3)cc2c1,-9.668,-8.834
52,c1csc(CN2CCN(c3cccc4nc(N5CC6CCC5CO6)ccc34)CC2)c1,-10.42,-10.44
53,OC1(c2ccc(I)cc2)CCN(Cc2ccc(I)cc2)CC1,-8.346,-8.551
54,CC(C)Oc1ccccc1N1CCN(C2CCC(O)(c3ccc(C(F)(F)F)cc3)c3ccc(C(=O)N(C)C)cc32)CC1,-9.478,-9.189
55,O=S(=O)(NCC1CCC(N2CCN(c3cccc(O)c3Cl)CC2)CC1)c1ccccc1F,-10.98,-9.546
56,CCN(CCO)C1CCc2ccc(C(C)(C)C)cc2C1=O,-7.689,-8.137
57,COc1cccc2c1OC(C)CC2NCCc1cccs1,-7.284,-7.674
58,Oc1ccccc1N1CCN(CCc2ccccc2)CC1,-8.713,-8.461
59,CCN1CCc2cc(OC)cc3c2C1Cc1ccc(O)c(O)c1-3,-7.211,-8.719
60,c1ccc(CC2CCN(CC3COc4ccccc4O3)CC2)cc1,-10.05,-9.609
61,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cccc3sccc23)CC1,-10.51,-9.42
62,CCC1OC(c2ccc(Cl)cc2)C(C)C(C)N(CC(=O)CC(=O)O)C1C,-11.53,-11.32
63,CCC(=O)N1CCN(CCCOc2ccc(N3CCN(C)CC3)cc2Cl)CC1,-8.313,-8.653
64,CC(CCN1CCN(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,-9.875,-9.251
65,CCN(C)c1cccc2c1C(=O)CC1CCN(CC3CC3)CC1(O)c1ccc(-c3ccc(O)cc3)cc1-2,-12.47,-12.33
66,Fc1cccc(Cl)c1N1CCNCC1,-6.769,-6.494
67,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)OCCO3)CC1,-8.602,-8.419
68,OCCNc1ccc(-c2cccc3nc(F)sc23)cn1,-7.633,-7.763
69,COc1ccccc1N1CCN(CCCN2C(=O)C3CCCN3C2=O)CC1,-8.269,-8.315
70,CCC1CC(=O)N(C)C1CNC(=O)c1cccc(C(F)(F)F)c1,-9.103,-8.465
71,CCN(C)CCc1c(-c2ccc(Br)cc2)[nH]c2ccccc12,-7.785,-8.056
72,Cc1nsc2c1CCN(C)C1CCc3c(O)cccc3C21,-12.69,-13.87
73,CCCN(CCCCN1Cc2ccccc2C1=O)C(=O)Nc1ccccc1,-9.087,-8.471
74,O=C(O)CNC(=O)CCCC(=O)NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3[N+](=O)[O-])CC2)cc1,-9.184,-8.865
75,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccccc2)CC1,-10.24,-9.066
76,Oc1nc2cc(C3CCN(CCF)CC3)ccc2n2cccc12,-8.521,-8.782
77,CN1CCCC1Cc1c[nH]c2ccc(OCc3ccccc3)cc12,-9.561,-9.458
78,COc1ccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1Cl,-9.126,-9.059
79,Cc1ccc2nc(-c3ccc(OCCN4CCN(c5ccccn5)CC4)cc3)sc2c1,-9.978,-10.17
80,COc1cccc(C(=O)NCC2CCCN2Cc2ccccc2[N+](=O)[O-])c1,-8.99,-8.892
