affinity-inactive,affinity_7E2Y_H-Chembl24,affinity_7E2Y_H-gail_sm,affinity_7E2Y_H-gail_sf,affinity-active
-10.12,-9.923,-10.46,-8.968,-9.528
-9.109,-8.897,-9.616,-13.91,-9.725
-9.332,-9.624,-9.264,-9.214,-10.14
-10.85,-10,-8.583,-8.222,-9.071
-8.947,-9.43,-7.951,-8.602,-10.26
-8.394,-10.29,-9.44,-10.72,-10.34
-6.722,-9.881,-7.486,-12.58,-9.442
-9.424,-8.843,-7.868,-7.287,-10.49
-8.059,-7.83,-9.789,-9.373,-9.89
-7.185,-7.175,-9.084,-8.858,-9.499
-7.808,-10.39,-10.77,-8.565,-9.43
-7.824,-6.509,-8.722,-13.36,-9.633
-7.996,-8.924,-8.708,-7.353,-7.119
-9.389,-7.746,-9.389,-5.717,-8.427
-6.945,-9.664,-15.81,-8.593,-7.166
-10.24,-10.38,-9.833,-7.223,-9.933
-7.53,-8.816,-8.971,-7.543,-7.048
-7.534,-9.937,-11.12,-6.746,-9.453
-7.299,-8.818,-9.96,-9.738,-9.21
-8.985,-8.354,-12.15,-9.426,-7.968
-7.911,-8.272,-9.674,-8.728,-8.48
-7.864,-9.414,-6.573,-8.954,-8.386
-7.603,-8.631,-7.442,-8.904,-10.35
-7.856,-7.745,-10.23,-13.73,-9.999
-8.108,-9.464,-9.597,-9.223,-8.023
-8.914,-11.2,-9.944,-8.623,-9.835
-7.718,-9.064,-9.698,-10.86,-9.554
-6.942,-9.365,-11.08,-12.61,-9.285
-8.608,-9.239,-9.159,-8.482,-8.781
-10.09,-9.585,-10.2,-10.5,-8.965
-8.589,-9.285,-8.199,-10.74,-7.712
-6.569,-7.277,-10.08,-6.634,-8.55
-7.904,-8.423,-8.962,-9.425,-6.62
-9.447,-8.462,-13.18,-9.418,-8.877
-7.729,-8.484,-7.817,-8.408,-7.13
-11.32,-8.207,-12.75,-11.91,-8.272
-10.71,-9.453,-9.062,-9.223,-10.78
-9.362,-10.12,-8.204,-12.88,-8.313
-6.978,-10.21,-6.965,-8.274,-8.456
-8.826,-8.347,-7.267,-12.24,-10.2
-9.051,-8.054,-8.666,-9.289,-10.14
-8.493,-7.67,-8.227,-9.104,-10.03
-6.803,-7.92,-9.037,-7.86,-10.17
-8.869,-8.635,-8.832,-8.373,-10.67
-9.567,-7.468,-8.232,-7.97,-9.601
-9.198,-9.219,-10.15,-8.696,-8.961
-9.223,-8.551,-10.68,-8.199,-11.15
-7.646,-8.924,-7.004,-7.835,-9.727
-8.434,-10.35,-8.597,-9.861,-9.356
-7.52,-7.517,-9.985,-8.287,-9.955
-8.548,-9.23,-12.01,-8.927,-9.541
-8.448,-7.938,-8.834,-9.09,-9.61
-9.158,-8.393,-10.44,-6.871,-7.367
-7.22,-9.038,-8.551,-9.538,-9.807
-7.089,-9.371,-9.189,-9.24,-10.35
-8.725,-7.301,-9.546,-9.706,-7.963
-13.21,-7.276,-8.137,-8.548,-10.71
-6.962,-8.138,-7.674,-10.46,-8.527
-8.393,-8.327,-8.461,-7.81,-10.2
-9.603,-10.83,-8.719,-9.233,-11.05
-8.909,-8.422,-9.609,-3.881,-9.86
-8.789,-10.31,-9.42,-7.554,-9.991
-10.95,-12.12,-11.32,-4.93,-9.958
-8.221,-9.245,-8.653,-11.22,-9.866
-7.138,-7.17,-9.251,-11.94,-7.716
-7.888,-9.73,-12.33,-12.41,-9.544
-7.629,-9.619,-6.494,-9.167,-10.66
-10.16,-7.371,-8.419,-8.14,-6.182
-8.908,-8.905,-7.763,-8.418,-9.289
-9.289,-9.693,-8.315,-8.106,-10.1
-8.202,-9.328,-8.465,-7.948,-9.977
-9.944,-10.47,-8.056,-12.55,-13.64
-7.017,-8.602,-13.87,-11.72,-13.05
-8.77,-8.849,-8.471,-11.35,-10.41
-8.217,-9.288,-8.865,-8.568,-10.47
-7.21,-8.572,-9.066,-10.28,-7.226
-7.898,-7.305,-8.782,-15.83,-9.011
-9.526,-9.599,-9.458,-7.81,-7.687
-7.919,-8.807,-9.059,-11.43,-7.611
-7.96,-10.5,-10.17,-10.7,-8.276
-9.369,-9.054,-8.892,-10.03,-8.352
-8.715,-7.497,-7.591,-15.24,-8.172
-9.341,-9.278,-8.588,-9.278,-8.899
-8.808,-9.205,-9.308,-9.482,-6.887
-9.842,-8.147,-9.041,-8.944,-7.183
-8.027,-9.321,-9.222,-9.274,-8.74
-7.359,-9.209,-8.624,-8.852,-10.95
-9.442,-8.785,-8.52,-8.213,-8.736
-8.306,-10.98,-9.234,-13.85,-7.175
-7.68,-9.94,-9.451,-8.504,-8.044
-8.751,-9.226,-6.895,-13.36,-8.975
-9.211,-9.479,-10.12,-7.009,-9.32
-9.59,-14.17,-10.48,-10.23,-7.593
-7.664,-8.495,-13.13,-8.209,-9.613
-13.04,-9.569,-8.574,-10.04,-9.867
-7.365,-8.908,-9.04,-7.333,-10.24
-7.551,-8.755,-6.741,-8.049,-7.758
-8.45,-12.73,-9.69,-12.09,-8.455
-7.197,-9.827,-8.6,-12.96,-7.94
-9.636,-12.88,-7.183,-9.519,-7.479
-9.66,-10.13,-6.144,-6.634,-7.75
-7.164,-14.86,-9.236,-13.59,-8.082
-8.379,-8.244,-7.932,-8.005,-6.419
-8.697,-10.39,-6.903,-12.49,-10.53
-7.695,-8.389,-10.25,-12.29,-9.55
-8.83,-10.71,-8.08,-8.484,-9.48
-9.862,-10.52,-9.559,-8.657,-11.81
-9.413,-7.352,-9.823,-10.54,-9.284
-8.957,-9.199,-8.887,-11.46,-10.17
-12.31,-9.903,-8.56,-9.415,-6.829
-8.798,-9.004,-8.904,-14.35,-9.899
-8.167,-8.914,-9.468,-8.621,-9.907
-9.377,-9.587,-8.619,-14.92,-6.764
-8.221,-7.1,-8.64,-8.766,-9.406
-7.864,-8.32,-9.247,-9.126,-10.13
-5.95,-10.74,-9.533,-7.809,-7.459
-8.132,-8.575,-11.06,-9.188,-7.659
-6.788,-8.707,-9.023,-9.662,-7.631
-8.289,-10.14,-9.532,-9.013,-9.575
-8.521,-7.429,-9.204,-8.9,-9.423
-8.772,-10.13,-8.704,-9.476,-8.663
-8.831,-9.5,-7.928,-6.352,-9.016
-7.213,-7.476,-11.2,-11.98,-7.628
-7.582,-7.675,-9.324,-8.376,-10.63
-8.335,-9.583,-8.307,-10.14,-6.205
-8.59,-8.561,-10.48,-8.204,-9.836
-8.06,-9.248,-8.206,-10.32,-8.657
-8.922,-10.23,-9.116,-9.69,-8.681
-5.785,-9.326,-9.492,-7.253,-7.337
-9.056,-12.93,-8.418,-8.18,-8.907
-6.499,-7.866,-9.059,-9.006,-9.804
-7.535,-9.528,-9.609,-10.04,-8.821
-6.438,-10.49,-7.413,-6.871,-9.263
-12.94,-9.884,-9.911,-10.11,-11.11
-8.387,-9.846,-10.47,-10.9,-8.594
-7.958,-7.148,-8.556,-11.46,-7.836
-6.003,-9.394,-6.957,-13.46,-9.128
-8.06,-9.422,-9.325,-12.77,-9.849
-9.193,-9.52,-8.744,-15.89,-8.968
-13.21,-10.37,-8.135,-8.719,-8.623
-8.067,-7.318,-8.222,-11.62,-6.895
-6.283,-11.25,-8.216,-8.219,-8.95
-8.646,-8.825,-8.921,-7.852,-9.486
-9.126,-9.338,-8.617,-8.849,-9.862
-12.2,-9.218,-8.532,-7.625,-8.433
-6.913,-8.433,-9.62,-8.082,-8.714
-7.613,-9.934,-10,-9.032,-8.874
-6.976,-13.69,-8.268,-7.946,-8.732
-9.413,-9.563,-8.117,-13.68,-11.81
-8.1,-9.672,-9.447,-13.52,-9.238
-7.799,-7.513,-8.919,-9.169,-9.809
-9.048,-7.986,-9.708,-9.192,-8.954
-8.474,-7.471,-7.095,-9.346,-8.513
-7.137,-8.579,-13.18,-11.09,-10.32
-9.086,-9.063,-8.597,-9.836,-9.761
-7.706,-8.775,-8.232,-7.748,-10.62
-10.22,-9.412,-10.01,-9.282,-8.16
-6.543,-9.309,-8.439,-9.322,-10.45
-6.85,-8.671,-6.512,-9.338,-9.957
-5.691,-8.445,-8.938,-9.892,-9.679
-7.687,-8.514,-10.59,-11.92,-8.432
-6.714,-8.377,-8.44,-9.468,-10.37
-8.053,-8.59,-7.287,-10.13,-7.643
-5.805,-9.989,-8.097,-12.11,-6.983
-7.192,-11.37,-8.513,-11.76,-9.147
-7.114,-6.614,-8.993,-11.07,-10.39
-7.101,-7.564,-8.509,-13.75,-7.981
-6.923,-11.96,-9.898,-7.713,-9.034
-8.204,-9.7,-13.4,-8.244,-9.11
-9.483,-10.75,-8.449,-16.08,-11.02
-8.496,-9.404,-7.445,-8.007,-7.145
-7.185,-8.742,-9.426,-7.598,-10.28
-7.407,-8.286,-8.945,-9.398,-9.009
-6.977,-9.096,-7.319,-9.279,-9.739
-9.66,-10.52,-7.853,-12.57,-7.873
-9.064,-7.016,-8.879,-13.19,-8.548
-8.165,-9.604,-7.332,-13.52,-9.922
-7.845,-8.883,-8.634,-8.816,-8.016
-8.199,-9.543,-9.68,-12.48,-9.465
-7.782,-9.416,-8.787,-7.425,-8.712
-7.869,-9.167,-9.668,-6.829,-7.337
-8.081,-9.412,-10.46,-11.4,-8.431
-7.066,-13.49,-10.14,-9.06,-7.916
-6.994,-8.847,-9.853,-7.543,-9.256
-7.976,-8.005,-9.326,-8.153,-9.719
-8.078,-9.068,-11.76,-9.271,-10.13
-8.765,-9.441,-8.872,-8.269,-9.691
-9.337,-9.053,-9.863,-9.445,-10.17
-7.204,-14.02,-8.625,-11.09,-7.518
-9.758,-10.07,-6.718,-8.756,-10.12
-8.976,-8.014,-6.936,-9.127,-10.35
-8.9,-8.954,-9.407,-9.73,-10.24
-9.895,-10.53,-9.436,-12.65,-9.637
-7.167,-7.823,-8.248,-11.05,-9.058
-9.04,-8.741,-9.105,-8.81,-10.22
-6.799,-8.131,-8.475,-7.951,-6.145
-8.795,-9.507,-9.821,-8.95,-9.551
-8.774,-10.14,-9.362,-11.09,-9.565
-6.416,-8.645,-14.36,-8.776,-10.08
-7.114,-9.855,-8.524,-10.32,-10.37
-8.472,-9.002,-8.323,-8.224,-8.983
-8.384,-8.555,-10.31,-9.753,-9.222
-9.002,-10.78,-9.116,-12.27,-9.76
-9.532,-9.745,-10.37,-6.904,-11.06
-8.199,-9.915,-8.088,-8.607,-9.607
-8.773,-8.669,-10.1,-10.09,-8.679
-8.657,-9.78,-9.134,-7.288,-9.068
-8.87,-10.26,-10.28,-8.118,-9.763
-9.08,-9.525,-8.271,-9.576,-9.296
-8.948,-10.79,-9.285,-8.45,-9.135
-8.33,-13.45,-8.782,-12.24,-9.082
-7.51,-9.755,-9.198,-9.757,-8.986
-9.473,-10.45,-8.029,-9.806,-10.08
-10.38,-8.644,-8.423,-8.385,-10.07
-7.325,-9.735,-8.598,-8.376,-10.36
-6.941,-9.373,-13.95,-7.803,-11.8
-8.967,-8.877,-9.529,-9.738,-9.359
-8.645,-8.307,-9.134,-9.159,-6.847
-8.895,-8.64,-6.71,-10.08,-10.2
-8.596,-11.8,-9.385,-9.334,-8.706
-7.914,-9.063,-11.77,-7.051,-9.877
-7.905,-8.701,-9.574,-8.772,-7.999
-7.327,-9.969,-13.87,-8.722,-8.904
-8.743,-7.497,-9.91,-11.62,-10.67
-12.5,-9.699,-9.741,-9.88,-10.14
-7.705,-8.061,-8.132,-9.101,-10.43
-11.7,-8.969,-10.93,-9.287,-8.628
-9.05,-8.613,-12.13,-8.401,-8.922
-7.133,-7.152,-7.727,-7.936,-10.01
-9.562,-7.368,-9.435,-13.25,-9.819
-7.427,-8.923,-9.528,-8.766,-8.295
-7.36,-8.257,-7.829,-6.911,-10.92
-7.771,-8.152,-9.477,-14.16,-10.71
-8.948,-11.24,-8.578,-9.024,-6.369
-6.87,-9.525,-8.675,-9.423,-10.99
-8.447,-9.99,-13.45,-9.747,-10
-8.48,-8.888,-9.873,-9.018,-10.12
-8.388,-8.117,-14.75,-8.884,-7.921
-8.073,-10.06,-8.25,-8.838,-9.617
-8.272,-8.896,-10.72,-9.572,-9.229
-9.165,-7.738,-9.089,-12.14,-9.927
-8.662,-11.69,-8.334,-8.272,-9.983
-7.542,-11.7,-7.075,-9.635,-9.459
-9.327,-10.28,-11.12,-7.833,-8.166
-8.227,-9.406,-8.768,-12.14,-5.84
-6.475,-11.77,-7.353,-8.304,-8.179
-8.381,-9.948,-8.686,-9.673,-9.582
-7.625,-8.422,-8.987,-8.378,-9.15
-8.359,-12.96,-8.021,-9.967,-8.889
-8.904,-11.33,-10.47,-8.697,-11.87
-7.74,-9.493,-9.39,-9.173,-9.315
-8.65,-8.248,-8.655,-8.106,-9.615
-6.53,-9.604,-9.443,-11.01,-8.566
-6.085,-9.832,-7.428,-9.545,-9.333
-8.28,-9.443,-10.29,-8.759,-10.14
-9.901,-8.802,-5.896,-13.36,-9.529
-9.527,-7.841,-7.859,-15.5,-8.809
-6.874,-8.568,-9.411,-9.145,-8.692
-9.184,-9.523,-10.49,-7.035,-8.889
-7.608,-8.473,-7.04,-12.09,-9.678
-9.419,-8.135,-9.564,-10.69,-8.423
-7.529,-8.968,-8.911,-9.945,-8.796
-8.079,-8.596,-8.324,-8.357,-8.951
-9.204,-9.48,-10.36,-8.66,-9.722
-7.419,-6.81,-14.9,-10.48,-9.748
-8.806,-8.389,-8.442,-11.59,-10.36
-7.898,-10.01,-8.341,-9.255,-9.397
-7.972,-9.164,-7.54,-11.27,-10.71
-6.851,-9.339,-8.05,-7.062,-7.885
-9.415,-10.1,-12.93,-8.272,-9.526
-6.721,-8.831,-9.945,-13.71,-8.217
-8.88,-9.494,-9.173,-6.352,-7.235
-7.976,-9.174,-6.765,-9.575,-7.91
-9.16,-10.09,-8.705,-9.545,-11.91
-8.441,-9.551,-8.478,-9.558,-8.264
-8.023,-9.418,-9.975,-10.92,-9.641
-12.86,-8.986,-11.76,-8.429,-7.295
-7.118,-10.09,-7.901,-10.55,-9.91
-8.852,-7.567,-8.408,-9.071,-9.923
-9.513,-8.184,-7.457,-14.66,-9.184
-8.292,-9.085,-8.96,-9.236,-6.737
-9.073,-9.673,-9.489,-9.549,-9.085
-8.227,-10.31,-9.644,-11.22,-7.48
-7.787,-9.26,-8.725,-8.346,-9.909
-8.595,-8.186,-9.861,-9.527,-9.905
-8.793,-8.577,-9.741,-9.087,-9.679
-8.987,-8.923,-9.994,-8.867,-10.05
-8.51,-9.34,-12.83,-11,-11.56
-9.33,-10.89,-8.272,-8.512,-8.211
-9.057,-9.906,-8.831,-9.296,-9.099
-7.658,-8.812,-8.203,-6.848,-10.95
-8.628,-11.87,-12.05,-8.199,-8.809
-6.611,-12.96,-9.495,-9.273,-9.874
-8.005,-8.242,-9.179,-13.36,-7.518
-9.197,-9.11,-13.65,-8.655,-7.56
-7.594,-9.282,-9.439,-8.58,-7.7
-9.418,-8.637,-7.643,-9.328,-6.764
-9.004,-8.543,-9.684,-9.614,-7.357
-7.824,-8.665,-6.837,-9.692,-10.47
-7.125,-10.16,-7.444,-10.87,-9.676
-7.886,-9.921,-14.83,-11.31,-8.266
-7.42,-10.21,-8.535,-9.275,-11.85
-7.032,-5.007,-9.13,-9.334,-10.55
-9.16,-12.27,-9.107,-8.794,-9.112
-9.36,-8.819,-9.053,-12.12,-9.92
-8.423,-8.758,-8.749,-8.062,-10.39
-9.292,-8.496,-7.616,-10.42,-8.869
-9.399,-10.23,-10.29,-8.418,-11.15
-7.512,-10.09,-9.242,-16.72,-10.4
-8.59,-9.894,-9.1,-9.321,-9.348
-11.45,-9.366,-8.901,-9.879,-9.327
-8.786,-8.465,-8.858,-8.854,-7.814
-8.462,-9.857,-8.217,-10.15,-8.025
-8.265,-8.647,-8.894,-9.331,-9.302
-9.799,-8.409,-9.179,-11.48,-9.255
-8.096,-8.726,-9.103,-11.07,-8.955
-8.504,-9.974,-7.186,-9.677,-8.198
-9.807,-11.64,-10.28,-8.22,-11.16
-7.535,-16.33,-9.365,-9.332,-9.809
-7.656,-10.59,-9.219,-9.872,-9.586
-11.46,-8.493,-9.26,-8.088,-9.547
-7.51,-10.44,-10.04,-8.822,-13.49
-9.792,-9.496,-9.763,-7.958,-9.346
-8.556,-9.454,-7.625,-8.046,-8.564
-9.85,-9.591,-8.229,-9.273,-9.172
-9.986,-9.3,-10.57,-12.7,-8.595
-7.578,-13.47,-8.917,-9.33,-9.64
-9.847,-14.08,-7.84,-10.69,-8.053
-8.64,-9.136,-8.553,-13.29,-9.228
-7.389,-7.838,-3.411,-10.52,-7.976
-8.146,-8.03,-8.727,-9.79,-9.679
-8.143,-9.301,-8.92,-12.2,-9.284
-12.28,-9.832,-9.209,-14.36,-9.262
-7.49,-9.323,-10.04,-7.183,-8.391
-7.822,-9.319,-10.39,-8.922,-8.011
-9.012,-6.946,-9.633,-12.68,-9.603
-7.899,-6.888,-10.35,-10.19,-7.327
-7.172,-6.915,-12.76,-7.832,-8.033
-6.524,-9.996,-8.889,-7.182,-6.902
-8.608,-8.614,-11.02,-12.69,-8.15
-9.193,-8.153,-8.667,-8.821,-10.82
-7.106,-9.79,-11.97,-7.626,-8.363
-8.575,-8.728,-8.317,-7.681,-9.981
-6.414,-10.1,-16.8,-7.22,-9.212
-7.916,-9.386,-7.522,-10.37,-9.117
-9.337,-8.92,-13.27,-13.32,-7.427
-8.782,-8.962,-9.291,-10.38,-9.322
-7.435,-6.559,-8.968,-8.982,-8.441
-7.812,-9.678,-9.977,-11.99,-9.604
-10.39,-10.18,-9.174,-8.542,-8.715
-9.34,-9.437,-9.586,-9.646,-8.425
-7.502,-8.295,-7.867,-8.031,-7.188
-8.212,-8.608,-9.236,-8.964,-7.917
-6.796,-9.759,-8.957,-8.567,-9.234
-8.317,-8.489,-9.47,-6.871,-8.889
-9.1,-9.927,-10.03,-7.903,-8.624
-7.866,-9.602,-8.456,-8.942,-10.96
-7.583,-8.521,-5.486,-14.09,-9.48
-7.946,-9.004,-7.501,-8.382,-10.46
-7.679,-9.467,-11.75,-9.26,-9.124
-7.908,-8.205,-9.347,-9.188,-8.791
-9.769,-8.072,-9.25,-9.007,-9.901
-7.11,-10.74,-9.123,-9.167,-9.489
-7.818,-10.66,-9.182,-7.154,-9.823
-8.697,-9.162,-9.957,-8.394,-10.38
-7.762,-9.818,-10.39,-8.507,-10.25
-9.617,-10.3,-10.31,-9.895,-9.534
-10.4,-8.637,-8.607,-9.446,-8.634
-8.112,-8.21,-11.22,-9.371,-8.939
-9.352,-9.367,-10.15,-6.151,-8.454
-8.608,-9.007,-9.998,-9.425,-6.659
-8.073,-10.46,-9.662,-13.08,-8.274
-9.511,-7.765,-10.04,-12.87,-7.114
-8.047,-10.67,-9.57,-10.69,-8.849
-8.33,-8.848,-7.809,-6.943,-9.986
-8.24,-9.531,-8.623,-13.07,-9.864
-7.876,-10.86,-8.803,-7.924,-8.573
-7.597,-8.335,-8.385,-8.715,-8.514
-8.14,-8.619,-9.347,-11.9,-11.58
-7.768,-9.107,-7.863,-8.518,-8.765
-9.892,-9.364,-9.648,-13.89,-9.14
-10.37,-7.798,-9.019,-12.6,-7.642
-9.143,-8.111,-9.823,-9.638,-10.01
-9.378,-10.62,-10.35,-8.103,-10.09
-8.11,-10.49,-7.476,-7.976,-8.685
-7.613,-9.607,-7.478,-6.746,-9.649
-7.67,-9.497,-7.561,-13.14,-9.565
-9.096,-9.515,-9.388,-8.186,-9.189
-8.906,-9.951,-7.936,-8.815,-7.714
-9.018,-8.701,-9.521,-8.796,-7.807
-8.505,-7.331,-10.15,-8.889,-10.46
-6.557,-12.48,-8.374,-9.508,-8.724
-7.482,-8.062,-8.753,-9.098,-10.52
